"hRate","dTime","landscape","patch","gen","count","hcount","pupae","larvae","dead_adults"
0,1,1,2,1,40,0,0,0,0
0,1,1,2,1,0,0,0,0,0
0,1,1,3,1,0,0,0,0,0
0,1,1,4,1,0,0,0,0,0
0,1,1,5,1,0,0,0,0,0
0,1,1,6,1,0,0,0,0,0
0,1,2,1,1,59,0,0,0,0
0,1,2,2,1,0,0,0,0,0
0,1,2,3,1,0,0,0,0,0
0,1,2,4,1,0,0,0,0,0
0,1,2,5,1,0,0,0,0,0
0,1,2,6,1,0,0,0,0,0
0.25,1,1,1,1,49,13,0,0,0
0.25,1,1,2,1,0,0,0,0,0
0.25,1,1,3,1,0,0,0,0,0
0.25,1,1,4,1,0,0,0,0,0
0.25,1,1,5,1,0,0,0,0,0
0.25,1,1,6,1,0,0,0,0,0
0.25,1,2,1,1,76,20,0,0,0
0.25,1,2,2,1,3,0,0,0,0
0.25,1,2,3,1,0,0,0,0,0
0.25,1,2,4,1,0,0,0,0,0
0.25,1,2,5,1,0,0,0,0,0
0.25,1,2,6,1,0,0,0,0,0
0.5,1,1,1,1,33,17,0,0,0
0.5,1,1,2,1,0,0,0,0,0
0.5,1,1,3,1,0,0,0,0,0
0.5,1,1,4,1,0,0,0,0,0
0.5,1,1,5,1,0,0,0,0,0
0.5,1,1,6,1,0,0,0,0,0
0.5,1,2,1,1,69,35,0,0,0
0.5,1,2,2,1,2,1,0,0,0
0.5,1,2,3,1,0,0,0,0,0
0.5,1,2,4,1,0,0,0,0,0
0.5,1,2,5,1,0,0,0,0,0
0.5,1,2,6,1,0,0,0,0,0
0.75,1,1,1,1,82,62,0,0,0
0.75,1,1,2,1,0,0,0,0,0
0.75,1,1,3,1,0,0,0,0,0
0.75,1,1,4,1,0,0,0,0,0
0.75,1,1,5,1,0,0,0,0,0
0.75,1,1,6,1,0,0,0,0,0
0.75,1,2,1,1,65,49,0,0,0
0.75,1,2,2,1,0,0,0,0,0
0.75,1,2,3,1,0,0,0,0,0
0.75,1,2,4,1,0,0,0,0,0
0.75,1,2,5,1,0,0,0,0,0
0.75,1,2,6,1,0,0,0,0,0
0,6,1,1,1,80,0,0,0,0
0,6,1,2,1,0,0,0,0,0
0,6,1,3,1,0,0,0,0,0
0,6,1,4,1,0,0,0,0,0
0,6,1,5,1,0,0,0,0,0
0,6,1,6,1,0,0,0,0,0
0,6,2,1,1,57,0,0,0,0
0,6,2,2,1,2,0,0,0,0
0,6,2,3,1,0,0,0,0,0
0,6,2,4,1,0,0,0,0,0
0,6,2,5,1,0,0,0,0,0
0,6,2,6,1,0,0,0,0,0
0.25,6,1,1,1,55,14,0,0,0
0.25,6,1,2,1,2,1,0,0,0
0.25,6,1,3,1,0,0,0,0,0
0.25,6,1,4,1,0,0,0,0,0
0.25,6,1,5,1,0,0,0,0,0
0.25,6,1,6,1,0,0,0,0,0
0.25,6,2,1,1,81,21,0,0,0
0.25,6,2,2,1,3,1,0,0,0
0.25,6,2,3,1,0,0,0,0,0
0.25,6,2,4,1,0,0,0,0,0
0.25,6,2,5,1,0,0,0,0,0
0.25,6,2,6,1,0,0,0,0,0
0.5,6,1,1,1,66,33,0,0,0
0.5,6,1,2,1,4,2,0,0,0
0.5,6,1,3,1,0,0,0,0,0
0.5,6,1,4,1,0,0,0,0,0
0.5,6,1,5,1,0,0,0,0,0
0.5,6,1,6,1,0,0,0,0,0
0.5,6,2,1,1,78,40,0,0,0
0.5,6,2,2,1,2,1,0,0,0
0.5,6,2,3,1,0,0,0,0,0
0.5,6,2,4,1,0,0,0,0,0
0.5,6,2,5,1,0,0,0,0,0
0.5,6,2,6,1,0,0,0,0,0
0.75,6,1,1,1,61,46,0,0,0
0.75,6,1,2,1,0,0,0,0,0
0.75,6,1,3,1,0,0,0,0,0
0.75,6,1,4,1,0,0,0,0,0
0.75,6,1,5,1,0,0,0,0,0
0.75,6,1,6,1,0,0,0,0,0
0.75,6,2,1,1,50,38,0,0,0
0.75,6,2,2,1,0,0,0,0,0
0.75,6,2,3,1,0,0,0,0,0
0.75,6,2,4,1,0,0,0,0,0
0.75,6,2,5,1,0,0,0,0,0
0.75,6,2,6,1,0,0,0,0,0
0,24,1,1,1,63,0,0,0,0
0,24,1,2,1,5,0,0,0,0
0,24,1,3,1,0,0,0,0,0
0,24,1,4,1,0,0,0,0,0
0,24,1,5,1,0,0,0,0,0
0,24,1,6,1,0,0,0,0,0
0,24,2,1,1,50,0,0,0,0
0,24,2,2,1,0,0,0,0,0
0,24,2,3,1,0,0,0,0,0
0,24,2,4,1,0,0,0,0,0
0,24,2,5,1,0,0,0,0,0
0,24,2,6,1,0,0,0,0,0
0.25,24,1,1,1,65,17,0,0,0
0.25,24,1,2,1,2,1,0,0,0
0.25,24,1,3,1,0,0,0,0,0
0.25,24,1,4,1,0,0,0,0,0
0.25,24,1,5,1,0,0,0,0,0
0.25,24,1,6,1,0,0,0,0,0
0.25,24,2,1,1,70,18,0,0,0
0.25,24,2,2,1,8,2,0,0,0
0.25,24,2,3,1,1,0,0,0,1
0.25,24,2,4,1,0,0,0,0,0
0.25,24,2,5,1,0,0,0,0,0
0.25,24,2,6,1,0,0,0,0,0
0.5,24,1,1,1,55,28,0,0,1
0.5,24,1,2,1,0,0,0,0,0
0.5,24,1,3,1,0,0,0,0,0
0.5,24,1,4,1,0,0,0,0,0
0.5,24,1,5,1,0,0,0,0,0
0.5,24,1,6,1,0,0,0,0,0
0.5,24,2,1,1,64,32,0,0,0
0.5,24,2,2,1,15,8,0,0,0
0.5,24,2,3,1,0,0,0,0,0
0.5,24,2,4,1,0,0,0,0,0
0.5,24,2,5,1,0,0,0,0,0
0.5,24,2,6,1,0,0,0,0,0
0.75,24,1,1,1,55,42,0,0,0
0.75,24,1,2,1,7,6,0,0,0
0.75,24,1,3,1,0,0,0,0,0
0.75,24,1,4,1,0,0,0,0,0
0.75,24,1,5,1,0,0,0,0,0
0.75,24,1,6,1,0,0,0,0,0
0.75,24,2,1,1,56,42,0,0,0
0.75,24,2,2,1,9,7,0,0,0
0.75,24,2,3,1,0,0,0,0,0
0.75,24,2,4,1,0,0,0,0,0
0.75,24,2,5,1,0,0,0,0,0
0.75,24,2,6,1,0,0,0,0,0
0,1,3,1,1,102,0,0,0,0
0,1,3,2,1,1,0,0,0,0
0,1,3,3,1,0,0,0,0,0
0,1,3,4,1,0,0,0,0,0
0,1,3,5,1,0,0,0,0,0
0,1,3,6,1,0,0,0,0,0
0,1,4,1,1,51,0,0,0,0
0,1,4,2,1,0,0,0,0,0
0,1,4,3,1,0,0,0,0,0
0,1,4,4,1,0,0,0,0,0
0,1,4,5,1,0,0,0,0,0
0,1,4,6,1,0,0,0,0,0
0.25,1,3,1,1,80,21,0,0,0
0.25,1,3,2,1,0,0,0,0,0
0.25,1,3,3,1,0,0,0,0,0
0.25,1,3,4,1,0,0,0,0,0
0.25,1,3,5,1,0,0,0,0,0
0.25,1,3,6,1,0,0,0,0,0
0.25,1,4,1,1,71,18,0,0,0
0.25,1,4,2,1,0,0,0,0,0
0.25,1,4,3,1,0,0,0,0,0
0.25,1,4,4,1,0,0,0,0,0
0.25,1,4,5,1,0,0,0,0,0
0.25,1,4,6,1,0,0,0,0,0
0.5,1,3,1,1,74,37,0,0,0
0.5,1,3,2,1,1,1,0,0,0
0.5,1,3,3,1,0,0,0,0,0
0.5,1,3,4,1,0,0,0,0,0
0.5,1,3,5,1,0,0,0,0,0
0.5,1,3,6,1,0,0,0,0,0
0.5,1,4,1,1,81,41,0,0,0
0.5,1,4,2,1,0,0,0,0,0
0.5,1,4,3,1,0,0,0,0,0
0.5,1,4,4,1,0,0,0,0,0
0.5,1,4,5,1,0,0,0,0,0
0.5,1,4,6,1,0,0,0,0,0
0.75,1,3,1,1,85,65,0,0,0
0.75,1,3,2,1,0,0,0,0,0
0.75,1,3,3,1,0,0,0,0,0
0.75,1,3,4,1,0,0,0,0,0
0.75,1,3,5,1,0,0,0,0,0
0.75,1,3,6,1,0,0,0,0,0
0.75,1,4,1,1,59,45,0,0,0
0.75,1,4,2,1,0,0,0,0,0
0.75,1,4,3,1,0,0,0,0,0
0.75,1,4,4,1,0,0,0,0,0
0.75,1,4,5,1,0,0,0,0,0
0.75,1,4,6,1,0,0,0,0,0
0,6,3,1,1,100,101,0,0,0
0,6,3,2,1,4,0,0,0,0
0,6,3,3,1,0,0,0,0,0
0,6,3,4,1,0,0,0,0,0
0,6,3,5,1,0,0,0,0,0
0,6,3,6,1,0,0,0,0,0
0,6,4,1,1,57,0,0,0,1
0,6,4,2,1,1,0,0,0,0
0,6,4,3,1,0,0,0,0,0
0,6,4,4,1,0,0,0,0,0
0,6,4,5,1,0,0,0,0,0
0,6,4,6,1,0,0,0,0,0
0.25,6,3,1,1,117,30,0,0,0
0.25,6,3,2,1,1,1,0,0,0
0.25,6,3,3,1,0,0,0,0,0
0.25,6,3,4,1,0,0,0,0,0
0.25,6,3,5,1,0,0,0,0,0
0.25,6,3,6,1,0,0,0,0,0
0.25,6,4,1,1,90,23,0,0,0
0.25,6,4,2,1,1,1,0,0,0
0.25,6,4,3,1,0,0,0,0,0
0.25,6,4,4,1,0,0,0,0,0
0.25,6,4,5,1,0,0,0,0,0
0.25,6,4,6,1,0,0,0,0,0
0.5,6,3,1,1,73,37,0,0,1
0.5,6,3,2,1,1,1,0,0,0
0.5,6,3,3,1,0,0,0,0,0
0.5,6,3,4,1,0,0,0,0,0
0.5,6,3,5,1,0,0,0,0,0
0.5,6,3,6,1,0,0,0,0,0
0.5,6,4,1,1,88,45,0,1,0
0.5,6,4,2,1,0,0,0,0,0
0.5,6,4,3,1,0,0,0,0,0
0.5,6,4,4,1,0,0,0,0,0
0.5,6,4,5,1,0,0,0,0,0
0.5,6,4,6,1,0,0,0,0,0
0.75,6,3,1,1,61,46,0,0,0
0.75,6,3,2,1,0,0,0,0,0
0.75,6,3,3,1,0,0,0,0,0
0.75,6,3,4,1,0,0,0,0,0
0.75,6,3,5,1,0,0,0,0,0
0.75,6,3,6,1,0,0,0,0,0
0.75,6,4,1,1,80,61,0,0,0
0.75,6,4,2,1,2,2,0,0,0
0.75,6,4,3,1,0,0,0,0,0
0.75,6,4,4,1,0,0,0,0,0
0.75,6,4,5,1,0,0,0,0,0
0.75,6,4,6,1,0,0,0,0,0
0,24,3,1,1,74,0,0,0,0
0,24,3,2,1,9,0,0,1,0
0,24,3,3,1,0,0,0,0,0
0,24,3,4,1,0,0,0,0,0
0,24,3,5,1,0,0,0,0,0
0,24,3,6,1,0,0,0,0,0
0,24,4,1,1,90,91,0,0,1
0,24,4,2,1,7,0,0,0,0
0,24,4,3,1,1,0,0,0,0
0,24,4,4,1,0,0,0,0,0
0,24,4,5,1,0,0,0,0,0
0,24,4,6,1,0,0,0,0,0
0.25,24,3,1,1,52,13,0,0,0
0.25,24,3,2,1,3,1,0,0,0
0.25,24,3,3,1,0,0,0,0,0
0.25,24,3,4,1,0,0,0,0,0
0.25,24,3,5,1,0,0,0,0,0
0.25,24,3,6,1,0,0,0,0,0
0.25,24,4,1,1,55,14,0,0,0
0.25,24,4,2,1,7,2,0,0,0
0.25,24,4,3,1,0,0,0,0,0
0.25,24,4,4,1,0,0,0,0,0
0.25,24,4,5,1,0,0,0,0,0
0.25,24,4,6,1,0,0,0,0,0
0.5,24,3,1,1,82,42,0,0,0
0.5,24,3,2,1,7,4,0,0,0
0.5,24,3,3,1,1,1,0,0,0
0.5,24,3,4,1,0,0,0,0,0
0.5,24,3,5,1,0,0,0,0,0
0.5,24,3,6,1,0,0,0,0,0
0.5,24,4,1,1,83,42,0,0,0
0.5,24,4,2,1,4,2,0,0,0
0.5,24,4,3,1,0,0,0,0,0
0.5,24,4,4,1,0,0,0,0,0
0.5,24,4,5,1,0,0,0,0,0
0.5,24,4,6,1,0,0,0,0,0
0.75,24,3,1,1,66,50,0,0,1
0.75,24,3,2,1,0,0,0,0,0
0.75,24,3,3,1,0,0,0,0,0
0.75,24,3,4,1,0,0,0,0,0
0.75,24,3,5,1,0,0,0,0,0
0.75,24,3,6,1,0,0,0,0,0
0.75,24,4,1,1,60,45,0,0,1
0.75,24,4,2,1,1,1,0,0,0
0.75,24,4,3,1,0,0,0,0,0
0.75,24,4,4,1,0,0,0,0,0
0.75,24,4,5,1,0,0,0,0,0
0.75,24,4,6,1,0,0,0,0,0
0,1,5,1,1,36,0,0,0,0
0,1,5,2,1,0,0,0,0,0
0,1,5,3,1,0,0,0,0,0
0,1,5,4,1,0,0,0,0,0
0,1,5,5,1,0,0,0,0,0
0,1,5,6,1,0,0,0,0,0
0,1,6,1,1,54,0,0,0,0
0,1,6,2,1,0,0,0,0,0
0,1,6,3,1,0,0,0,0,0
0,1,6,4,1,0,0,0,0,0
0,1,6,5,1,0,0,0,0,0
0,1,6,6,1,0,0,0,0,0
0.25,1,5,1,1,45,12,0,0,0
0.25,1,5,2,1,0,0,0,0,0
0.25,1,5,3,1,0,0,0,0,0
0.25,1,5,4,1,0,0,0,0,0
0.25,1,5,5,1,0,0,0,0,0
0.25,1,5,6,1,0,0,0,0,0
0.25,1,6,1,1,49,13,0,0,0
0.25,1,6,2,1,0,0,0,0,0
0.25,1,6,3,1,0,0,0,0,0
0.25,1,6,4,1,0,0,0,0,0
0.25,1,6,5,1,0,0,0,0,0
0.25,1,6,6,1,0,0,0,0,0
0.5,1,5,1,1,62,31,0,0,0
0.5,1,5,2,1,3,2,0,0,0
0.5,1,5,3,1,0,0,0,0,0
0.5,1,5,4,1,0,0,0,0,0
0.5,1,5,5,1,0,0,0,0,0
0.5,1,5,6,1,0,0,0,0,0
0.5,1,6,1,1,58,29,0,3,1
0.5,1,6,2,1,1,1,0,0,0
0.5,1,6,3,1,0,0,0,0,0
0.5,1,6,4,1,0,0,0,0,0
0.5,1,6,5,1,0,0,0,0,0
0.5,1,6,6,1,0,0,0,0,0
0.75,1,5,1,1,36,27,0,0,0
0.75,1,5,2,1,0,0,0,0,0
0.75,1,5,3,1,0,0,0,0,0
0.75,1,5,4,1,0,0,0,0,0
0.75,1,5,5,1,0,0,0,0,0
0.75,1,5,6,1,0,0,0,0,0
0.75,1,6,1,1,44,33,0,0,0
0.75,1,6,2,1,0,0,0,0,0
0.75,1,6,3,1,0,0,0,0,0
0.75,1,6,4,1,0,0,0,0,0
0.75,1,6,5,1,0,0,0,0,0
0.75,1,6,6,1,0,0,0,0,0
0,6,5,1,1,67,0,0,0,0
0,6,5,2,1,2,0,0,0,0
0,6,5,3,1,0,0,0,0,0
0,6,5,4,1,0,0,0,0,0
0,6,5,5,1,0,0,0,0,0
0,6,5,6,1,0,0,0,0,0
0,6,6,1,1,42,0,0,0,0
0,6,6,2,1,0,0,0,0,0
0,6,6,3,1,0,0,0,0,0
0,6,6,4,1,0,0,0,0,0
0,6,6,5,1,0,0,0,0,0
0,6,6,6,1,0,0,0,0,0
0.25,6,5,1,1,52,13,0,0,0
0.25,6,5,2,1,1,1,0,0,0
0.25,6,5,3,1,0,0,0,0,0
0.25,6,5,4,1,0,0,0,0,0
0.25,6,5,5,1,0,0,0,0,0
0.25,6,5,6,1,0,0,0,0,0
0.25,6,6,1,1,58,15,1,0,0
0.25,6,6,2,1,0,0,0,0,0
0.25,6,6,3,1,0,0,0,0,0
0.25,6,6,4,1,0,0,0,0,0
0.25,6,6,5,1,0,0,0,0,0
0.25,6,6,6,1,0,0,0,0,0
0.5,6,5,1,1,60,30,0,0,0
0.5,6,5,2,1,1,1,0,0,0
0.5,6,5,3,1,0,0,0,0,0
0.5,6,5,4,1,0,0,0,0,0
0.5,6,5,5,1,0,0,0,0,0
0.5,6,5,6,1,0,0,0,0,0
0.5,6,6,1,1,68,34,0,1,0
0.5,6,6,2,1,0,0,0,0,0
0.5,6,6,3,1,0,0,0,0,0
0.5,6,6,4,1,0,0,0,0,0
0.5,6,6,5,1,0,0,0,0,0
0.5,6,6,6,1,0,0,0,0,0
0.75,6,5,1,1,64,48,0,1,0
0.75,6,5,2,1,0,0,0,0,0
0.75,6,5,3,1,0,0,0,0,0
0.75,6,5,4,1,0,0,0,0,0
0.75,6,5,5,1,0,0,0,0,0
0.75,6,5,6,1,0,0,0,0,0
0.75,6,6,1,1,72,54,0,1,0
0.75,6,6,2,1,1,1,0,0,0
0.75,6,6,3,1,0,0,0,0,0
0.75,6,6,4,1,0,0,0,0,0
0.75,6,6,5,1,0,0,0,0,0
0.75,6,6,6,1,0,0,0,0,0
0,24,5,1,1,58,0,0,0,0
0,24,5,2,1,3,0,0,0,0
0,24,5,3,1,0,0,0,0,0
0,24,5,4,1,0,0,0,0,0
0,24,5,5,1,0,0,0,0,0
0,24,5,6,1,0,0,0,0,0
0,24,6,1,1,38,0,0,0,0
0,24,6,2,1,3,0,0,0,0
0,24,6,3,1,0,0,0,0,0
0,24,6,4,1,0,0,0,0,0
0,24,6,5,1,0,0,0,0,0
0,24,6,6,1,0,0,0,0,0
0.25,24,5,1,1,54,14,0,1,0
0.25,24,5,2,1,5,2,0,0,0
0.25,24,5,3,1,0,0,0,0,0
0.25,24,5,4,1,0,0,0,0,0
0.25,24,5,5,1,0,0,0,0,0
0.25,24,5,6,1,0,0,0,0,0
0.25,24,6,1,1,186,47,74,6,1
0.25,24,6,2,1,2,1,0,0,0
0.25,24,6,3,1,0,0,0,0,0
0.25,24,6,4,1,0,0,0,0,0
0.25,24,6,5,1,0,0,0,0,0
0.25,24,6,6,1,0,0,0,0,0
0.5,24,5,1,1,47,24,0,0,0
0.5,24,5,2,1,3,2,0,0,0
0.5,24,5,3,1,0,0,0,0,0
0.5,24,5,4,1,0,0,0,0,0
0.5,24,5,5,1,0,0,0,0,0
0.5,24,5,6,1,0,0,0,0,0
0.5,24,6,1,1,68,34,0,0,0
0.5,24,6,2,1,1,1,0,0,0
0.5,24,6,3,1,1,1,0,0,0
0.5,24,6,4,1,0,0,0,0,0
0.5,24,6,5,1,0,0,0,0,0
0.5,24,6,6,1,0,0,0,0,0
