"hRate","dTime","landscape","patch","gen","count","hcount","pupae","larvae","dead_adults"
0.75,24,5,1,1,49,37,0,1,0
0.75,24,5,2,1,2,2,0,0,0
0.75,24,5,3,1,0,0,0,0,0
0.75,24,5,4,1,0,0,0,0,0
0.75,24,5,5,1,0,0,0,0,0
0.75,24,5,6,1,0,0,0,0,0
0.75,24,6,1,1,62,47,0,0,0
0.75,24,6,2,1,3,3,0,0,0
0.75,24,6,3,1,0,0,0,0,0
0.75,24,6,4,1,0,0,0,0,0
0.75,24,6,5,1,0,0,0,0,0
0.75,24,6,6,1,0,0,0,0,0
0,1,7,1,1,121,0,0,4,1
0,1,7,2,1,1,0,0,0,0
0,1,7,3,1,0,0,0,0,0
0,1,7,4,1,0,0,0,0,0
0,1,7,5,1,0,0,0,0,0
0,1,7,6,1,0,0,0,0,0
0,1,8,1,1,53,0,0,1,0
0,1,8,2,1,0,0,0,0,0
0,1,8,3,1,0,0,0,0,0
0,1,8,4,1,0,0,0,0,0
0,1,8,5,1,0,0,0,0,0
0,1,8,6,1,0,0,0,0,0
0.25,1,7,1,1,100,0.0636,0,1,0
0.25,1,7,2,1,0,0,0,0,0
0.25,1,7,3,1,0,0,0,0,0
0.25,1,7,4,1,0,0,0,0,0
0.25,1,7,5,1,0,0,0,0,0
0.25,1,7,6,1,0,0,0,0,0
0.25,1,8,1,1,94,0.0599,0,0,0
0.25,1,8,2,1,0,0,0,0,0
0.25,1,8,3,1,0,0,0,0,0
0.25,1,8,4,1,0,0,0,0,0
0.25,1,8,5,1,0,0,0,0,0
0.25,1,8,6,1,0,0,0,0,0
0.5,1,7,1,1,116,0.1484,0,1,0
0.5,1,7,2,1,0,0,0,0,0
0.5,1,7,3,1,0,0,0,0,0
0.5,1,7,4,1,0,0,0,0,0
0.5,1,7,5,1,0,0,0,0,0
0.5,1,7,6,1,0,0,0,0,0
0.5,1,8,1,1,89,0.1142,0,1,0
0.5,1,8,2,1,3,2,0,0,0
0.5,1,8,3,1,0,0,0,0,0
0.5,1,8,4,1,0,0,0,0,0
0.5,1,8,5,1,0,0,0,0,0
0.5,1,8,6,1,0,0,0,0,0
0.75,1,7,1,1,114,0.2179,0,0,1
0.75,1,7,2,1,1,1,0,0,0
0.75,1,7,3,1,0,0,0,0,0
0.75,1,7,4,1,0,0,0,0,0
0.75,1,7,5,1,0,0,0,0,0
0.75,1,7,6,1,0,0,0,0,0
0.75,1,8,1,1,85,0.1628,0,0,0
0.75,1,8,2,1,1,1,0,0,0
0.75,1,8,3,1,0,0,0,0,0
0.75,1,8,4,1,0,0,0,0,0
0.75,1,8,5,1,0,0,0,0,0
0.75,1,8,6,1,0,0,0,0,0
0,6,7,1,1,107,0,0,0,1
0,6,7,2,1,2,0,0,0,0
0,6,7,3,1,0,0,0,0,0
0,6,7,4,1,0,0,0,0,0
0,6,7,5,1,0,0,0,0,0
0,6,7,6,1,0,0,0,0,0
0,6,8,1,1,103,0,0,0,0
0,6,8,2,1,1,0,0,0,0
0,6,8,3,1,0,0,0,0,0
0,6,8,4,1,0,0,0,0,0
0,6,8,5,1,0,0,0,0,0
0,6,8,6,1,0,0,0,0,0
0.25,6,7,1,1,59,15,0,0,0
0.25,6,7,2,1,7,2,0,0,0
0.25,6,7,3,1,0,0,0,0,0
0.25,6,7,4,1,0,0,0,0,0
0.25,6,7,5,1,0,0,0,0,0
0.25,6,7,6,1,0,0,0,0,0
0.25,6,8,1,1,126,0.0801,0,0,0
0.25,6,8,2,1,4,1,0,0,0
0.25,6,8,3,1,0,0,0,0,0
0.25,6,8,4,1,0,0,0,0,0
0.25,6,8,5,1,0,0,0,0,0
0.25,6,8,6,1,0,0,0,0,0
0.5,6,7,1,1,70,35,0,0,1
0.5,6,7,2,1,4,2,0,0,0
0.5,6,7,3,1,0,0,0,0,0
0.5,6,7,4,1,0,0,0,0,0
0.5,6,7,5,1,0,0,0,0,0
0.5,6,7,6,1,0,0,0,0,0
0.5,6,8,1,1,107,0.1364,0,1,0
0.5,6,8,2,1,8,4,0,0,0
0.5,6,8,3,1,0,0,0,0,0
0.5,6,8,4,1,0,0,0,0,0
0.5,6,8,5,1,0,0,0,0,0
0.5,6,8,6,1,0,0,0,0,0
0.75,6,7,1,1,123,0.2345,0,0,0
0.75,6,7,2,1,2,2,0,0,0
0.75,6,7,3,1,0,0,0,0,0
0.75,6,7,4,1,0,0,0,0,0
0.75,6,7,5,1,0,0,0,0,0
0.75,6,7,6,1,0,0,0,0,0
0.75,6,8,1,1,103,0.1964,0,0,0
0.75,6,8,2,1,14,11,0,0,0
0.75,6,8,3,1,0,0,0,0,0
0.75,6,8,4,1,0,0,0,0,0
0.75,6,8,5,1,0,0,0,0,0
0.75,6,8,6,1,0,0,0,0,0
0,24,7,1,1,73,0,0,0,0
0,24,7,2,1,7,0,0,0,1
0,24,7,3,1,0,0,0,0,0
0,24,7,4,1,0,0,0,0,0
0,24,7,5,1,0,0,0,0,0
0,24,7,6,1,0,0,0,0,0
0,24,8,1,1,71,0,0,0,0
0,24,8,2,1,26,0,0,0,0
0,24,8,3,1,0,0,0,0,0
0,24,8,4,1,0,0,0,0,0
0,24,8,5,1,0,0,0,0,0
0,24,8,6,1,0,0,0,0,0
0.25,24,7,1,1,82,21,0,0,2
0.25,24,7,2,1,11,3,0,0,0
0.25,24,7,3,1,1,1,0,0,0
0.25,24,7,4,1,1,1,0,0,0
0.25,24,7,5,1,0,0,0,0,0
0.25,24,7,6,1,0,0,0,0,0
0.25,24,8,1,1,94,24,0,0,0
0.25,24,8,2,1,7,2,0,0,0
0.25,24,8,3,1,1,1,0,0,0
0.25,24,8,4,1,0,0,0,0,0
0.25,24,8,5,1,0,0,0,0,0
0.25,24,8,6,1,0,0,0,0,0
0.5,24,7,1,1,107,54,0,0,0
0.5,24,7,2,1,16,8,0,0,0
0.5,24,7,3,1,0,0,0,0,0
0.5,24,7,4,1,1,1,0,0,0
0.5,24,7,5,1,0,0,0,0,0
0.5,24,7,6,1,0,0,0,0,0
0.5,24,8,1,1,96,49,0,0,0
0.5,24,8,2,1,16,8,0,0,0
0.5,24,8,3,1,0,0,0,0,0
0.5,24,8,4,1,0,0,0,0,0
0.5,24,8,5,1,0,0,0,0,0
0.5,24,8,6,1,0,0,0,0,0
0.75,24,7,1,1,124,94,0,0,0
0.75,24,7,2,1,23,18,0,0,0
0.75,24,7,3,1,2,2,0,0,0
0.75,24,7,4,1,0,0,0,0,0
0.75,24,7,5,1,0,0,0,0,0
0.75,24,7,6,1,0,0,0,0,0
0.75,24,8,1,1,96,73,0,0,1
0.75,24,8,2,1,25,19,0,0,0
0.75,24,8,3,1,0,0,0,0,0
0.75,24,8,4,1,0,0,0,0,0
0.75,24,8,5,1,0,0,0,0,0
0.75,24,8,6,1,0,0,0,0,0
0,1,9,1,1,76,0,0,0,0
0,1,9,2,1,1,0,0,0,0
0,1,9,3,1,0,0,0,0,0
0,1,9,4,1,0,0,0,0,0
0,1,9,5,1,0,0,0,0,0
0,1,9,6,1,0,0,0,0,0
0,1,10,1,1,81,0,0,1,0
0,1,10,2,1,0,0,0,0,0
0,1,10,3,1,0,0,0,0,0
0,1,10,4,1,0,0,0,0,0
0,1,10,5,1,0,0,0,0,0
0,1,10,6,1,0,0,0,0,0
0.25,1,9,1,1,92,24,0,0,0
0.25,1,9,2,1,0,0,0,0,0
0.25,1,9,3,1,0,0,0,0,0
0.25,1,9,4,1,0,0,0,0,0
0.25,1,9,5,1,0,0,0,0,0
0.25,1,9,6,1,0,0,0,0,0
0.25,1,10,1,1,50,13,0,0,0
0.25,1,10,2,1,0,0,0,0,0
0.25,1,10,3,1,0,0,0,0,0
0.25,1,10,4,1,0,0,0,0,0
0.25,1,10,5,1,0,0,0,0,0
0.25,1,10,6,1,0,0,0,0,0
0.5,1,9,1,1,54,27,0,0,0
0.5,1,9,2,1,0,0,0,0,0
0.5,1,9,3,1,0,0,0,0,0
0.5,1,9,4,1,0,0,0,0,0
0.5,1,9,5,1,0,0,0,0,0
0.5,1,9,6,1,0,0,0,0,0
0.5,1,10,1,1,88,45,0,0,0
0.5,1,10,2,1,0,0,0,0,0
0.5,1,10,3,1,0,0,0,0,0
0.5,1,10,4,1,0,0,0,0,0
0.5,1,10,5,1,0,0,0,0,0
0.5,1,10,6,1,0,0,0,0,0
0.75,1,9,1,1,100,76,1,0,0
0.75,1,9,2,1,0,0,0,0,0
0.75,1,9,3,1,0,0,0,0,0
0.75,1,9,4,1,0,0,0,0,0
0.75,1,9,5,1,0,0,0,0,0
0.75,1,9,6,1,0,0,0,0,0
0.75,1,10,1,1,64,48,0,0,0
0.75,1,10,2,1,0,1,0,0,0
0.75,1,10,3,1,0,0,0,0,0
0.75,1,10,4,1,0,0,0,0,0
0.75,1,10,5,1,0,0,0,0,0
0.75,1,10,6,1,0,0,0,0,0
0,6,9,1,1,105,0,0,0,0
0,6,9,2,1,0,0,0,0,0
0,6,9,3,1,0,0,0,0,0
0,6,9,4,1,0,0,0,0,0
0,6,9,5,1,0,0,0,0,0
0,6,9,6,1,0,0,0,0,0
0,6,10,1,1,63,0,0,0,0
0,6,10,2,1,3,0,0,0,0
0,6,10,3,1,1,0,0,0,0
0,6,10,4,1,0,0,0,0,0
0,6,10,5,1,0,0,0,0,0
0,6,10,6,1,0,0,0,0,0
0.25,6,9,1,1,91,23,0,0,0
0.25,6,9,2,1,0,0,0,0,0
0.25,6,9,3,1,0,0,0,0,0
0.25,6,9,4,1,0,0,0,0,0
0.25,6,9,5,1,0,0,0,0,0
0.25,6,9,6,1,0,0,0,0,0
0.25,6,10,1,1,92,24,0,0,0
0.25,6,10,2,1,1,1,0,0,0
0.25,6,10,3,1,0,0,0,0,0
0.25,6,10,4,1,0,0,0,0,0
0.25,6,10,5,1,0,0,0,0,0
0.25,6,10,6,1,0,0,0,0,0
0.5,6,9,1,1,93,47,0,1,0
0.5,6,9,2,1,15,8,0,0,0
0.5,6,9,3,1,0,0,0,0,0
0.5,6,9,4,1,0,0,0,0,0
0.5,6,9,5,1,0,0,0,0,0
0.5,6,9,6,1,0,0,0,0,0
0.5,6,10,1,1,61,31,0,0,0
0.5,6,10,2,1,0,0,0,0,0
0.5,6,10,3,1,0,0,0,0,0
0.5,6,10,4,1,0,0,0,0,0
0.5,6,10,5,1,0,0,0,0,0
0.5,6,10,6,1,0,0,0,0,0
0.75,6,9,1,1,75,57,0,0,2
0.75,6,9,2,1,4,3,0,0,0
0.75,6,9,3,1,0,0,0,0,0
0.75,6,9,4,1,0,0,0,0,0
0.75,6,9,5,1,0,0,0,0,0
0.75,6,9,6,1,0,0,0,0,0
0.75,6,10,1,1,59,45,0,0,2
0.75,6,10,2,1,1,1,0,0,0
0.75,6,10,3,1,0,0,0,0,0
0.75,6,10,4,1,0,0,0,0,0
0.75,6,10,5,1,0,0,0,0,0
0.75,6,10,6,1,0,0,0,0,0
0,24,9,1,1,95,0,0,0,0
0,24,9,2,1,21,0,0,0,0
0,24,9,3,1,0,0,0,0,0
0,24,9,4,1,0,0,0,0,0
0,24,9,5,1,0,0,0,0,0
0,24,9,6,1,0,0,0,0,0
0,24,10,1,1,75,0,0,0,0
0,24,10,2,1,17,0,0,0,0
0,24,10,3,1,1,0,0,0,0
0,24,10,4,1,0,0,0,0,0
0,24,10,5,1,0,0,0,0,0
0,24,10,6,1,0,0,0,0,0
0.25,24,9,1,1,53,14,0,0,0
0.25,24,9,2,1,3,1,0,0,0
0.25,24,9,3,1,0,0,0,0,0
0.25,24,9,4,1,0,0,0,0,0
0.25,24,9,5,1,0,0,0,0,0
0.25,24,9,6,1,0,0,0,0,0
0.25,24,10,1,1,65,17,0,0,0
0.25,24,10,2,1,3,1,0,0,0
0.25,24,10,3,1,0,0,0,0,0
0.25,24,10,4,1,0,0,0,0,0
0.25,24,10,5,1,0,0,0,0,0
0.25,24,10,6,1,0,0,0,0,0
0.5,24,9,1,1,84,43,0,0,0
0.5,24,9,2,1,0,0,0,0,0
0.5,24,9,3,1,0,0,0,0,0
0.5,24,9,4,1,0,0,0,0,0
0.5,24,9,5,1,0,0,0,0,0
0.5,24,9,6,1,0,0,0,0,0
0.5,24,10,1,1,71,36,0,0,0
0.5,24,10,2,1,11,6,0,0,0
0.5,24,10,3,1,0,0,0,0,0
0.5,24,10,4,1,0,0,0,0,0
0.5,24,10,5,1,0,0,0,0,0
0.5,24,10,6,1,0,0,0,0,0
0.75,24,9,1,1,66,50,0,0,0
0.75,24,9,2,1,0,0,0,0,0
0.75,24,9,3,1,0,0,0,0,0
0.75,24,9,4,1,0,0,0,0,0
0.75,24,9,5,1,0,0,0,0,0
0.75,24,9,6,1,0,0,0,0,0
0.75,24,10,1,1,62,47,0,0,0
0.75,24,10,2,1,3,3,0,0,0
0.75,24,10,3,1,0,0,0,0,0
0.75,24,10,4,1,0,0,0,0,0
0.75,24,10,5,1,0,0,0,0,0
0.75,24,10,6,1,0,0,0,0,0
0,1,11,1,1,67,0,0,2,0
0,1,11,2,1,0,0,0,0,0
0,1,11,3,1,0,0,0,0,0
0,1,11,4,1,0,0,0,0,0
0,1,11,5,1,0,0,0,0,0
0,1,11,6,1,0,0,0,0,0
0,1,12,1,1,50,0,0,0,0
0,1,12,2,1,0,0,0,0,0
0,1,12,3,1,0,0,0,0,0
0,1,12,4,1,0,0,0,0,0
0,1,12,5,1,0,0,0,0,0
0,1,12,6,1,0,0,0,0,0
0.25,1,11,1,1,46,12,0,0,0
0.25,1,11,2,1,1,1,0,0,0
0.25,1,11,3,1,0,0,0,0,0
0.25,1,11,4,1,0,0,0,0,0
0.25,1,11,5,1,0,0,0,0,0
0.25,1,11,6,1,0,0,0,0,0
0.25,1,12,1,1,52,13,0,0,1
0.25,1,12,2,1,0,0,0,0,0
0.25,1,12,3,1,0,0,0,0,0
0.25,1,12,4,1,0,0,0,0,0
0.25,1,12,5,1,0,0,0,0,0
0.25,1,12,6,1,0,0,0,0,0
0.5,1,11,1,1,51,26,0,0,0
0.5,1,11,2,1,0,0,0,0,0
0.5,1,11,3,1,0,0,0,0,0
0.5,1,11,4,1,0,0,0,0,0
0.5,1,11,5,1,0,0,0,0,0
0.5,1,11,6,1,0,0,0,0,0
0.5,1,12,1,1,108,0.138,0,0,0
0.5,1,12,2,1,1,1,0,0,0
0.5,1,12,3,1,0,0,0,0,0
0.5,1,12,4,1,0,0,0,0,0
0.5,1,12,5,1,0,0,0,0,0
0.5,1,12,6,1,0,0,0,0,0
0.75,1,11,1,1,99,0.01887,0,0,0
0.75,1,11,2,1,0,0,0,0,0
0.75,1,11,3,1,0,0,0,0,0
0.75,1,11,4,1,0,0,0,0,0
0.75,1,11,5,1,0,0,0,0,0
0.75,1,11,6,1,0,0,0,0,0
0.75,1,12,1,1,69,52,0,0,0
0.75,1,12,2,1,0,0,0,0,0
0.75,1,12,3,1,0,0,0,0,0
0.75,1,12,4,1,0,0,0,0,0
0.75,1,12,5,1,0,0,0,0,0
0.75,1,12,6,1,0,0,0,0,0
0,6,11,1,1,69,0,0,0,0
0,6,11,2,1,2,0,0,0,0
0,6,11,3,1,0,0,0,0,0
0,6,11,4,1,0,0,0,0,0
0,6,11,5,1,0,0,0,0,0
0,6,11,6,1,0,0,0,0,0
0,6,12,1,1,58,0,0,0,0
0,6,12,2,1,2,0,0,0,0
0,6,12,3,1,0,0,0,0,0
0,6,12,4,1,0,0,0,0,0
0,6,12,5,1,0,0,0,0,0
0,6,12,6,1,0,0,0,0,0
0.25,6,11,1,1,56,14,0,0,0
0.25,6,11,2,1,4,1,0,0,0
0.25,6,11,3,1,0,0,0,0,0
0.25,6,11,4,1,0,0,0,0,0
0.25,6,11,5,1,0,0,0,0,0
0.25,6,11,6,1,0,0,0,0,0
0.25,6,12,1,1,35,9,0,0,0
0.25,6,12,2,1,0,0,0,0,0
0.25,6,12,3,1,0,0,0,0,0
0.25,6,12,4,1,0,0,0,0,0
0.25,6,12,5,1,0,0,0,0,0
0.25,6,12,6,1,0,0,0,0,0
0.5,6,11,1,1,17,9,0,8,1
0.5,6,11,2,1,0,0,0,0,0
0.5,6,11,3,1,0,0,0,0,0
0.5,6,11,4,1,0,0,0,0,0
0.5,6,11,5,1,0,0,0,0,0
0.5,6,11,6,1,0,0,0,0,0
0.5,6,12,1,1,27,14,0,0,0
0.5,6,12,2,1,0,0,0,0,0
0.5,6,12,3,1,0,0,0,0,0
0.5,6,12,4,1,0,0,0,0,0
0.5,6,12,5,1,0,0,0,0,0
0.5,6,12,6,1,0,0,0,0,0
0.75,6,11,1,1,52,39,0,0,0
0.75,6,11,2,1,1,1,0,0,0
0.75,6,11,3,1,0,0,0,0,0
0.75,6,11,4,1,0,0,0,0,0
0.75,6,11,5,1,0,0,0,0,0
0.75,6,11,6,1,0,0,0,0,0
0.75,6,12,1,1,26,20,0,3,0
0.75,6,12,2,1,0,0,0,0,0
0.75,6,12,3,1,0,0,0,0,0
0.75,6,12,4,1,0,0,0,0,0
0.75,6,12,5,1,0,0,0,0,0
0.75,6,12,6,1,0,0,0,0,0
0,24,11,1,1,78,0,0,0,0
0,24,11,2,1,10,0,0,0,0
0,24,11,3,1,0,0,0,0,0
0,24,11,4,1,0,0,0,0,0
0,24,11,5,1,0,0,0,0,0
0,24,11,6,1,0,0,0,0,0
0,24,12,1,1,54,0,0,0,0
0,24,12,2,1,2,0,0,0,0
0,24,12,3,1,0,0,0,0,0
0,24,12,4,1,0,0,0,0,0
0,24,12,5,1,0,0,0,0,0
0,24,12,6,1,0,0,0,0,0
0.25,24,11,1,1,53,14,0,0,0
0.25,24,11,2,1,8,2,0,0,0
0.25,24,11,3,1,0,0,0,0,0
0.25,24,11,4,1,0,0,0,0,0
0.25,24,11,5,1,0,0,0,0,0
0.25,24,11,6,1,0,0,0,0,0
